"","pScreen","EV","ERV","FWER","FDR","Power","Level"
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA
"carve_gam5_B=5select=0.5",0.16,NA,NA,0.5,NA,0.716,NA
"split_gam5_B=5select=0.5",0,NA,NA,0,NA,0.004,NA
"carve_gam30_B=5select=0.5",0.08,NA,NA,0.2,NA,0.612,NA
"split_gam30_B=5select=0.5",0,NA,NA,0,NA,0,NA
"carve_gam5_B=5select=0.75",0.23,NA,NA,0.07,NA,0.752,NA
"split_gam5_B=5select=0.75",0,NA,NA,0,NA,0,NA
"carve_gam30_B=5select=0.75",0.18,NA,NA,0.02,NA,0.728,NA
"split_gam30_B=5select=0.75",0,NA,NA,0,NA,0,NA
"carve_gam5_B=5select=0.8",0.25,NA,NA,0.03,NA,0.768,NA
"split_gam5_B=5select=0.8",0,NA,NA,0,NA,0,NA
"carve_gam30_B=5select=0.8",0.2,NA,NA,0.01,NA,0.766,NA
"split_gam30_B=5select=0.8",0,NA,NA,0,NA,0,NA
"carve_gam5_B=5select=0.9",0.27,NA,NA,0.03,NA,0.748,NA
"split_gam5_B=5select=0.9",0,NA,NA,0,NA,0,NA
"carve_gam30_B=5select=0.9",0.25,NA,NA,0,NA,0.744,NA
"split_gam30_B=5select=0.9",0,NA,NA,0,NA,0,NA
"carve_gam5_B=5select=0.99",0.09,NA,NA,0.06,NA,0.596,NA
"split_gam5_B=5select=0.99",0,NA,NA,0,NA,0,NA
"carve_gam30_B=5select=0.99",0.04,NA,NA,0.01,NA,0.506,NA
"split_gam30_B=5select=0.99",0,NA,NA,0,NA,0,NA
"carve_gam5_B=10select=0.5",0.14,NA,NA,0.51,NA,0.712,NA
"split_gam5_B=10select=0.5",0,NA,NA,0,NA,0.002,NA
"carve_gam30_B=10select=0.5",0.06,NA,NA,0.16,NA,0.61,NA
"split_gam30_B=10select=0.5",0,NA,NA,0,NA,0,NA
"carve_gam5_B=10select=0.75",0.2,NA,NA,0.12,NA,0.722,NA
"split_gam5_B=10select=0.75",0,NA,NA,0,NA,0,NA
"carve_gam30_B=10select=0.75",0.19,NA,NA,0.02,NA,0.71,NA
"split_gam30_B=10select=0.75",0,NA,NA,0,NA,0,NA
"carve_gam5_B=10select=0.8",0.19,NA,NA,0.05,NA,0.75,NA
"split_gam5_B=10select=0.8",0,NA,NA,0,NA,0,NA
"carve_gam30_B=10select=0.8",0.21,NA,NA,0.01,NA,0.748,NA
"split_gam30_B=10select=0.8",0,NA,NA,0,NA,0,NA
"carve_gam5_B=10select=0.9",0.21,NA,NA,0.01,NA,0.724,NA
"split_gam5_B=10select=0.9",0,NA,NA,0,NA,0,NA
"carve_gam30_B=10select=0.9",0.19,NA,NA,0,NA,0.726,NA
"split_gam30_B=10select=0.9",0,NA,NA,0,NA,0,NA
"carve_gam5_B=10select=0.99",0.08,NA,NA,0.06,NA,0.594,NA
"split_gam5_B=10select=0.99",0,NA,NA,0,NA,0,NA
"carve_gam30_B=10select=0.99",0.02,NA,NA,0.02,NA,0.512,NA
"split_gam30_B=10select=0.99",0,NA,NA,0,NA,0,NA
"carve_gam5_B=20select=0.5",0.15,NA,NA,0.61,NA,0.738,NA
"split_gam5_B=20select=0.5",0,NA,NA,0,NA,0,NA
"carve_gam30_B=20select=0.5",0.04,NA,NA,0.12,NA,0.604,NA
"split_gam30_B=20select=0.5",0,NA,NA,0,NA,0,NA
"carve_gam5_B=20select=0.75",0.14,NA,NA,0.11,NA,0.704,NA
"split_gam5_B=20select=0.75",0,NA,NA,0,NA,0,NA
"carve_gam30_B=20select=0.75",0.14,NA,NA,0.02,NA,0.704,NA
"split_gam30_B=20select=0.75",0,NA,NA,0,NA,0,NA
"carve_gam5_B=20select=0.8",0.18,NA,NA,0.07,NA,0.726,NA
"split_gam5_B=20select=0.8",0,NA,NA,0,NA,0,NA
"carve_gam30_B=20select=0.8",0.15,NA,NA,0.01,NA,0.73,NA
"split_gam30_B=20select=0.8",0,NA,NA,0,NA,0,NA
"carve_gam5_B=20select=0.9",0.18,NA,NA,0.02,NA,0.696,NA
"split_gam5_B=20select=0.9",0,NA,NA,0,NA,0,NA
"carve_gam30_B=20select=0.9",0.21,NA,NA,0,NA,0.712,NA
"split_gam30_B=20select=0.9",0,NA,NA,0,NA,0,NA
"carve_gam5_B=20select=0.99",0.05,NA,NA,0.05,NA,0.576,NA
"split_gam5_B=20select=0.99",0,NA,NA,0,NA,0,NA
"carve_gam30_B=20select=0.99",0.03,NA,NA,0,NA,0.502,NA
"split_gam30_B=20select=0.99",0,NA,NA,0,NA,0,NA
"carve_gam5_B=50select=0.5",0.13,NA,NA,0.46,NA,0.71,NA
"split_gam5_B=50select=0.5",0,NA,NA,0,NA,0,NA
"carve_gam30_B=50select=0.5",0.03,NA,NA,0.1,NA,0.596,NA
"split_gam30_B=50select=0.5",0,NA,NA,0,NA,0,NA
"carve_gam5_B=50select=0.75",0.09,NA,NA,0.06,NA,0.684,NA
"split_gam5_B=50select=0.75",0,NA,NA,0,NA,0,NA
"carve_gam30_B=50select=0.75",0.12,NA,NA,0,NA,0.692,NA
"split_gam30_B=50select=0.75",0,NA,NA,0,NA,0,NA
"carve_gam5_B=50select=0.8",0.11,NA,NA,0.03,NA,0.688,NA
"split_gam5_B=50select=0.8",0,NA,NA,0,NA,0,NA
"carve_gam30_B=50select=0.8",0.14,NA,NA,0.01,NA,0.72,NA
"split_gam30_B=50select=0.8",0,NA,NA,0,NA,0,NA
"carve_gam5_B=50select=0.9",0.14,NA,NA,0,NA,0.67,NA
"split_gam5_B=50select=0.9",0,NA,NA,0,NA,0,NA
"carve_gam30_B=50select=0.9",0.2,NA,NA,0,NA,0.708,NA
"split_gam30_B=50select=0.9",0,NA,NA,0,NA,0,NA
"carve_gam5_B=50select=0.99",0.01,NA,NA,0,NA,0.522,NA
"split_gam5_B=50select=0.99",0,NA,NA,0,NA,0,NA
"carve_gam30_B=50select=0.99",0.02,NA,NA,0,NA,0.47,NA
"split_gam30_B=50select=0.99",0,NA,NA,0,NA,0,NA
